topic_id,in_audit_robust_6,topwords,mean_pct_across_docs,median_pct,max_pct,n_docs_dominant
0,True,"바다, 모래, 돌, 물고기, 파도",3.583,0.0,55.803,375
1,True,"꽃, 숲, 잎, 피다, 장미",3.533,0.0,60.198,367
4,False,"여분, 한쪽, 자줏빛, 대해다, 겪다",3.095,0.0,59.237,344
9,False,"사내, 노인, 지하, 자신, 물체",2.566,0.0,54.55,255
3,False,"개, 감자, 씹다, 짖다, 전복",2.549,0.0,55.481,270
6,False,"겨울, 외투, 얼음, 폭설, 눈송이",2.39,0.0,62.89,230
8,False,"그녀, 골다, 나열, 골목, 여인",2.212,0.0,58.227,203
2,False,"아버지, 어머니, 엄마, 아들, 고모",2.08,0.0,50.853,232
7,True,"비, 젖다, 우산, 빗방울, 내린다다",2.056,0.0,59.927,167
18,False,"어울리다, 상자, 하양, 시, 상처",2.017,0.0,51.568,170
13,False,"복도, 오류, 의자, 침대, 병",1.987,0.0,55.178,183
15,False,"모퉁이, 광장, 막차, 바깥, 발",1.96,0.0,53.938,181
5,False,"아이, 선생, 소녀, 학교, 교실",1.956,0.0,52.747,186
23,False,"벽, 저무다, 아파트, 저물다, 옆집",1.955,0.0,52.012,137
22,False,"병원, 환자, 오빠, 아프다, 될까다",1.867,0.0,53.11,145
11,True,"시, 시인, 시집, 동무, 소설",1.863,0.0,55.507,159
17,False,"별, 영광, 우주, 운석, 휴지",1.781,0.0,59.696,155
14,True,"노래, 기타, 연노랑, 음악, 히치",1.683,0.0,55.152,128
12,False,"편지, 필자, 칠판, 글자, 페이지",1.631,0.0,58.093,166
10,False,"나비, 날개, 거미, 비둘기, 새다",1.614,0.0,54.469,143
20,False,"할머니, 할아버지, 손주, 할망구, 이젠",1.512,0.0,53.823,108
19,False,"사과, 오렌지, 수박, 포도, 딸기",1.459,0.0,56.394,98
21,False,"거울, 모자, 쓴다다, 두꺼비, 선다다",1.387,0.0,55.539,84
24,False,"버스, 기사, 남자, 정류장, 산양",1.292,0.0,63.877,71
16,True,"고양이, 우산, 낯선다, 사라집니다다, 배꼽",1.189,0.0,52.926,85
